Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
12246 1st Ave Nw,Aid Response,2025-10-06 21:59:00,47.718076,-122.358235,POINT (-122.358235 47.718076),F250138852
1600 E OLIVE WAY,Aid Response,2025-10-06 21:51:00,47.618896,-122.325288,POINT (-122.325288 47.618896),F250138851
808 1st Ave,Rescue Elevator,2025-10-06 21:43:00,47.60332,-122.334981,POINT (-122.334981 47.60332),F250138850
12th Ave S / S Jackson St,Medic Response- Overdose,2025-10-06 21:41:00,47.599187,-122.317225,POINT (-122.317225 47.599187),F250138846
94 Bay St,Aid Response,2025-10-06 21:41:00,47.618347,-122.35529,POINT (-122.35529 47.618347),F250138847
11018 Lakeside Ave Ne,Activated CO Detector,2025-10-06 21:39:00,47.709736,-122.276873,POINT (-122.276873 47.709736),F250138845
12038 31st Ave Ne,4RED - 2 + 1 + 1,2025-10-06 21:35:00,47.7158,-122.295248,POINT (-122.295248 47.7158),F250138844
607 3rd Ave,Aid Response,2025-10-06 21:32:00,47.602813,-122.331449,POINT (-122.331449 47.602813),F250138843
FAIRVIEW AVE N / WARD ST,Aid Response,2025-10-06 21:26:00,47.627745,-122.33213,POINT (-122.33213 47.627745),F250138842
510 Broadway,Medic Response- Overdose,2025-10-06 21:24:00,47.606538,-122.32075,POINT (-122.32075 47.606538),F250138841
200 Lake Washington Blvd E,Illegal Burn,2025-10-06 21:21:00,47.619948,-122.281585,POINT (-122.281585 47.619948),F250138839
2807 S Mcclellan St,Medic Response- Overdose,2025-10-06 21:19:00,47.578347,-122.296116,POINT (-122.296116 47.578347),F250138837
810 Virginia St,Aid Response,2025-10-06 21:19:00,47.615789,-122.336507,POINT (-122.336507 47.615789),F250138836
301 Pine St,Aid Response,2025-10-06 21:19:00,47.610748,-122.338691,POINT (-122.338691 47.610748),F250138838
221 18th Ave S,Medic Response,2025-10-06 21:18:00,47.600659,-122.308964,POINT (-122.308964 47.600659),F250138835
6218 47th Ave S,Aid Response,2025-10-06 21:14:00,47.546623,-122.273713,POINT (-122.273713 47.546623),F250138834
10245 39th Ave Sw,Medic Response,2025-10-06 20:56:00,47.51157,-122.381654,POINT (-122.381654 47.51157),F250138832
1819 Nagle Pl,Auto Fire Alarm,2025-10-06 20:52:00,47.617792,-122.320056,POINT (-122.320056 47.617792),F250138830
1823 Minor Ave,2RED - 1 + 1,2025-10-06 20:52:00,47.617013,-122.330851,POINT (-122.330851 47.617013),F250138831
4424 Shilshole Ave Nw,Rubbish Fire,2025-10-06 20:29:00,47.661023,-122.374427,POINT (-122.374427 47.661023),F250138829
4843 S DIRECTOR ST,Aid Response,2025-10-06 20:18:00,47.522341,-122.272535,POINT (-122.272535 47.522341),F250138828
417 8th Ave S,Medic Response,2025-10-06 20:15:00,47.599041,-122.322446,POINT (-122.322446 47.599041),F250138827
Nb I5 Cd At I90,Aid Response,2025-10-06 20:13:00,47.589961,-122.320533,POINT (-122.320533 47.589961),F250138826
1911 22nd Ave S,Ladder Code Yellow,2025-10-06 19:44:00,47.586234,-122.304237,POINT (-122.304237 47.586234),F250138823
